id,date,year,listing_comment_count,listing_activity,comments_clean
971819733749310222,2023-09-02,2023,26,High,"Hallgrim is a fantastic host and the place is exactly as you imagined!<br/>The surroundings are quite peaceful and yet you're only a ten minute drive away from Hollywood, some great restaurants, and great hikes. <br/>Hallgrim is easy to get a hold off and his property manager is attentive as well. <br/>Checking in is exactly as described and very easy, the house is clean and very much makes you feel at home. The kitchen is well equipped with everything you'll need to cook for the week.<br/>The bathroom is quite spacious and spotless<br/>Both bedrooms are equipped with what you'll need and the beds are comfortable. <br/>Don't worry about parking since it'll be across the street, straightforward, and easy to find"
900891210162396056,2023-05-27,2023,26,High,Very comfortable and welcoming -quiet beautiful street but close to everything.
893641020043518223,2023-05-17,2023,236,Very high,Kevin’s place was cozy and very clean. I loved how everything was decorated and the marble sink counter!
1029181373136225886,2023-11-20,2023,137,Very high,"Lee was really great, we felt it was very private, my husband ran into lee and had a very positive interaction made sure we had everything! 10/10 recommend"
991430044759559884,2023-09-29,2023,228,Very high,"Overall, it was a nice place for a night. The beds were comfortable and the sheets were clean. We appreciated the size of the room and that it was super close to some pretty great restaurants.<br/>The feedback to improve:<br/>The smell in the room was super strong and needed to be aired out immediately. This is the same case for the public areas in the hotel and it was a bit unpleasant.<br/>Also, there weren’t enough towels for the 3 of us to use for a shower."
825526131619105788,2023-02-12,2023,80,Very high,Great! The place was wonderful and Andreea was very helpful. I really enjoyed it.
1015333627881188121,2023-11-01,2023,56,Very high,Great
871849031812133882,2023-04-17,2023,76,Very high,"This place was my first ever Airbnb rental and it was a step into paradise. As soon as you arrive in front of the house, you can smell the beautiful flowers and plants that are growing. The lock system on the house was an amazing feature that I hope to have one day in my own home. The beds were clean and comfortable. Also the amenities were stacked with offerings such as wine, a pool, a pool table, a sound system, a skee ball table, too many things to list. The backyard was incredible as well. If you ever need to stay in LA this is the perfect place at a perfect price."
972578466182734208,2023-09-03,2023,167,Very high,"Teshi is an awesome host! He welcomed us into his home and was very friendly and flexible - no unreasonable rules or restrictive curfews. His home was perfectly located for our needs and was easy to get to - it's right off the Pacific Coast Highway. There was plenty of street parking available. The one thing that I'd be aware of is that the air conditioning is in the common area but only a fan is available in the room. The weather was fine for us at the end of summer, and I imagine that being so close to the beach keeps the temperatures mild. I would recommend staying there - a great place for a great price!!"
950152808998773275,2023-08-03,2023,75,Very high,"Cool, breezy, quiet, and relaxing! I felt very much at home here. It's a beautiful space in a great neighborhood. Parking is easy too. I highly recommend a stay at Cynthia & Gustavo's loft!"
1037136430317261647,2023-12-01,2023,231,Very high,Beautiful quiet and clean home would definitely book next time I come back .
895711614830074207,2023-05-20,2023,80,Very high,The place was very organized and clean. <br/>Everything was functional. <br/>Great place for the money. <br/>I would definitely stay there again!
1242946312280107679,2024-09-10,2024,3,Low,It’s really a great place!! There’s an Asian grocery store nearby so it’s convenient to buy things. And they have good neighborhood.
1321989630809857709,2024-12-28,2024,1,Low,Great place to relax.
1202362757161533992,2024-07-16,2024,2,Low,Great stay in a beautiful neighborhood. Private with quiet. Would definitely return and recommend to all .
1324173316206606285,2024-12-31,2024,2,Low,"Our stay was absolutely wonderful. The beautiful decor and cozy atmosphere exceeded our expectations, it’s a total mid century gem in layout flow and picturesque design. They are amazing hosts, who were incredibly welcoming and attentive through an extended stay. making it the perfect home away from home. Great access to east LA culture- cafes, restaurants, parks, highly recommend! <br/>Sources"
1300979777278369426,2024-11-29,2024,1,Low,We had a wonderful stay at Grace’s place. Home was large and well equipped with plenty of space. The views from the backyard were amazing and the best part. The welcome snacks were a pleasant surprise and much appreciated.
1141463372893399272,2024-04-23,2024,3,Low,Great place would highly recommend.
1237859256088970267,2024-09-03,2024,1,Low,"Lauren’s place is perfect.<br/>We felt very much at home in this beautifully curated apartment. Everything we needed was available, and Kayla was very responsive when we had questions. We agree 100% with all the positive reviews and would love to return!"
1169027436012257851,2024-05-31,2024,2,Low,"Mia and her family were so pleasant and accomodating! I had such a wonderful stay, and would definitely rent again."
1295165110849912544,2024-11-21,2024,3,Low,"Bigger than I expected., Great stay, Britney was so nice and patience helping with my request. <br/>Pretty big kitchen, huge bedroom, we really happy with this cute guesthouse. <br/>Thank you. 💕"
1103138780207097067,2024-03-01,2024,3,Low,"My stay was extremely comfortable, clean, and communication with management was great!"
1206644343737066155,2024-07-22,2024,7,Medium,We enjoyed our stay at Abel's place. It was clean and comfortable. Perfect for families. Abel was super fast with all communications and easy to get ahold of. I will definitely come back next year when our convention is in town or if I'm staying in Long Beach.
1278426721828503779,2024-10-29,2024,5,Medium,Corbin & Kendall were absolutely fantastic hosts and my entire stay was AMAZING!!! The space is beautiful and the neighborhood was delightful as well. Will definitely be coming back! Thanks again - Charles
1216833844406955716,2024-08-05,2024,11,Medium,"Great location, not too far from SoFi Stadium. Rooms were exactly how described."
1134250645170103867,2024-04-13,2024,7,Medium,"This place was an awesome retreat for my sales team. Highly, highly recommend!"
1127645139896647754,2024-04-04,2024,10,Medium,Stay was ok.
1203085855218208894,2024-07-17,2024,5,Medium,"Amazing location steps away from the beach, nice and spacious living-room."
1170413999190916360,2024-06-02,2024,11,Medium,"I recently stayed at Jennifer’s place in Westwood for a month and had a great experience. The apartment was clean and exactly as pictured, with a spacious lounge and kitchen area. The amenities within the apartment block, including the pool and gym, were well-maintained and convenient. The location was perfect for visiting friends at UCLA, as it was within walking distance of the campus and student accommodations. Westwood Village offered plenty of activities and dining options. Jennifer was a responsive and helpful host. I would definitely stay here again. Would recommend!"
1196567868773137939,2024-07-08,2024,11,Medium,Muy amable y fácil quedarse donde la señora. No habla inglés pero responder rápidamente los mensajes a través de la plataforma.
1250192975983175967,2024-09-20,2024,11,Medium,My group had a great time and enjoyed themselves. Moziko was very helpful and his communication was great. I would recommend anytime you're in the area!
1190730404930804290,2024-06-30,2024,5,Medium,I liked absolutely everything🫶
1085653829911582235,2024-02-06,2024,24,High,"Recently stayed in Joes Airbnb that was a true gem. The home was exceptionally clean, radiating beauty in every room. Nestled in an awesome neighborhood, it provided the perfect balance of charm and convenience. One of the highlights was the tranquility at night, ensuring a peaceful and restful sleep. Highly recommend for anyone looking for a serene getaway in a picturesque setting."
1256020810153381377,2024-09-28,2024,40,High,"The listing doesn’t do this place justice. The home is so much more beautiful in person. I wanted to extend our visit, just to stay a few more nights in this amazing house. Aside from all of updates and renovations, Tamir was super responsive and helpful. We thoroughly enjoyed our stay. We were in town for our wedding and this listing helped make our trip even more special. It gave us the calm before the storm and my, now, husband and I are really happy that we went forward with this booking. Whenever we come back, we’re definitely gonna try and snag this place. In the meantime- Tamir, come and remodel/design my home in Virginia!"
1099499651230034821,2024-02-25,2024,32,High,It is so gorgeous and peaceful 🙏🏿 We rested so well here. It was lovely!
1069796386610843900,2024-01-15,2024,28,High,"I highly recommend Mar’s place if you’re in the Venice area. Great vibes and fantastic house. Bicycle was a nice touch for rides along the boardwalk. Everything you need is in walking distance, make sure you check out Casablanca great Mexican with table side margaritas."
1321964263411625064,2024-12-28,2024,30,High,"Our family had a great time at Amy’s place. The house was perfect for families, pet friendly, with plenty of space and a big backyard."
1324083688255562625,2024-12-31,2024,14,High,Great people. Great place.
1161774155863358724,2024-05-21,2024,41,High,Basic accommodation. Noisy area. But comfortable stay.
1257411850438502248,2024-09-30,2024,25,High,"Best room in LA.<br/>Safe area, nearby ocean, clean room, kind host. Maybe I can’t find better place in LA.<br/>I could have a great trip because of here. Thanks a lot."
1261737323371752062,2024-10-06,2024,31,High,My partner & I loved our stay! The bathroom was super spacious and nice. They included a clothing rack in there as well which was very useful. The bed was massive and so cozy. <br/>I was able to chat with Valerie & her partner when we arrived as well and they were lovely! I’ll definitely pick this place again my next time in LA 😊
1103062363949864659,2024-03-01,2024,34,High,We enjoyed staying at Farah’s house. Almost everything was new and the house was clean. The host was very responsive. I highly recommend it.
1151668177494963556,2024-05-07,2024,117,Very high,"This place is super cute, clean, convenient and has all the basic necessities you need. The room itself is cozy with the lighting options, it has thick curtain and lighting options that make sleep so easy. I used the microwave for heating leftovers, the fridge to store leftovers and keep my wine cool, the one glass cup to drink my wine, the siscors to cut tags off new things, the iron for my clothes, and I would’ve used their beach towels and umbrella if the weather wasn’t so cold.<br/>The best thing about this place is how it’s within walking distance to Santa Monica Pier, shopping centers, restaurants, and bars. The only thing worth taking into consideration and how distanced it is from the city of LA; it’s a good 30mins considering traffic and Uber/Lyft rides average $30-$50 to the city. Michael and Alexandra were great helpful hosts and their instructions were clear as day, had zero problem checking in. I genuinely enjoyed my stay and would recommend to future solo travelers."
1256706244231379129,2024-09-29,2024,155,Very high,"Perfect 2 nights stay here. Only half an hour form Universal Studios and half an hour from the beach. Spotless inside and out, exactly what we expected. Only thing that was slightly annoying was 1 call a day from the lady working with the property management. Friendly but unnecessary. Overall would definitely love to stay again, thank you"
1251616452181688682,2024-09-22,2024,56,Very high,"Bess and her team helped make our stay in Malibu wonderful. Her pro-active communication and clear instructions made check-in a breeze. The guest house we stayed in was lovely, spacious, and exactly as described. Any time we had a question or a request they responded immediately."
1287900990247232551,2024-11-11,2024,79,Very high,"We had the pleasure of staying at this cozy home in Monrovia that has many amenities and is in a great location. Check-in instructions were clear and easy to follow. The space is very comfortable, super clean and well-appointed. Jack and Annie are friendly, helpful and responsive. <br/>The home is in a quiet residential, tree-lined neighborhood, and close to Monrovia’s many beautiful parks. If you’re traveling with a toddler and enjoy quiet, low-key activities, you won’t run out of things for them to do. Monrovia’s parks have amazingly varied play equipment for little ones and Monrovia’s library is close by and has a large space dedicated to children’s books and activities. This home has an outdoor space that features a comfortable seating area with many flowers, fruit trees, a relaxing fountain and koi pond. The pond is covered and is safe for small children. You’ll have a two-car garage and an entirely private backyard area. Don’t hesitate to book this home. It’s a true Monrovia gem."
1124016050499769054,2024-03-30,2024,176,Very high,i loved your place! very comfortable and walkable to shops :)
1166856038842195585,2024-05-28,2024,107,Very high,Amazing find of a place as well as of a host! Savannah was extremely communicative (amazing response times!) and is very accommodating. The house itself is beautiful and very private with a gated entry. Everything was clean and well organized and her instructions were very clear and direct. Would definitely recommend this stay to anyone else
1272604758901332530,2024-10-21,2024,226,Very high,"Amazing place to stay, peaceful, very clean and Just an adorable modern cottage style place to stay… I will look for this place to stay again while visiting in LA…"
1124753523504677783,2024-03-31,2024,114,Very high,"Eric was a host and was responded quickly to any concerns. The house was great and comfortable. There were some things that need to be repaired and the fold down bed had stains but other than that, we had a great time and those things did not effect our stay. The price was the best around and it was not too far from Universal Studios. If we have future plans around LA we would love to stay here again."
1302451804273334517,2024-12-01,2024,129,Very high,"Great location, would stay again."
1134272894520425729,2024-04-13,2024,76,Very high,Nice
1389362164082957648,2025-03-31,2025,1,Low,Nice place in a nice part of Los Angeles. Enjoyed my stay
1556765343887940416,2025-11-17,2025,1,Low,"I had an amazing stay! The place was super clean and spotless—honestly one of the cleanest Airbnbs I’ve ever been in. The view was unbelievable, easily one of the best I’ve seen. I also loved how close we were to everything, which made exploring so easy and convenient. I would definitely book again. Highly recommend!"
1466944568699606473,2025-07-16,2025,1,Low,تجربة جداً جميلة وانصح بها<br/>شعرت وكانني في منزلي الاخر <br/>منزل جميل جداً مثل جمال العائلة اصحاب المنزل <br/>كانت تجربة رائعة السكن هادئ جداً ويوجد حراس امن لايمكن لمن هم من خارج العمارة الدخول ايضا يوجد مسبح جميل جداً ونادي رياضي رائع
1548831914108718814,2025-11-06,2025,2,Low,The best host here
1557534821292867349,2025-11-18,2025,3,Low,"The property is good for the money, has a great view, has lots to do in the area, is super close to the Crypto Arena, and is overall a nice place to stay."
1458146828662539100,2025-07-04,2025,1,Low,"I run a 7 man crew, we been together traveling for 3 years, 5 different states, all over California.<br/>This was the coolest time. House was perfect, very quiet neighborhood, watch out for Mr. Bill<br/>across st. Very nice, always watching. The host was very friendly and responsive, took care of couple of minor issues very quickly.<br/>The a/c was a + in this hot weather.<br/>Great time since my job site was only 2 miles away.<br/>Thanks to the host, I really enjoyed and recommend this place."
1490860884932459693,2025-08-18,2025,3,Low,"Amazing stay at Shade Hotel Manhattan Beach! Comfy beds, spa-like bathrooms, and tasty eats. Skydeck pool and cocktails were a vibe. Steps from the beach, it’s coastal luxury done right. Thanks for the epic getaway—life’s too short for dull hotels!<br/>- Grok :)"
1502355161207761363,2025-09-03,2025,1,Low,"Elizabeth was an absolutely wonderful host! The space was super clean, cozy, and felt very very safe. Check in was easy and she made me feel right at home. 10/10! Highly recommend!"
1492986436831713526,2025-08-21,2025,2,Low,"We were displaced from the Palisades fire and stayed 7 months- The location is the best in SM - Robert was extremely nice and very responsive about everything we would ask. The condo is beautifully remodeled, really nice furnished and lots of light- It felt like home."
1382864884916894330,2025-03-22,2025,2,Low,非常好，房子非常新，厨房的厨具、餐具一应俱全，冰箱的空间也完全足够，适合中长期旅居，马路对面就是一个超市，购物也很方便
1545148068640739547,2025-11-01,2025,10,Medium,Rachel was a great host. Always very kind and responsive. Would definitely stay here again.
1372689829744668363,2025-03-08,2025,10,Medium,"Worst Airbnb experience ever. Me and my family ( two small babies) were displaced from the Eaton Fire & staying at Brian’s Airbnb was insult to injury. We had to switch from his downstairs unit because the stairs to get to it were very dangerous for babies and carrying babies even though I had asked Brian prior if it would be problematic. Moving to his upstairs unit we were met with no hot water for a week and termites flying all over the living room multiple days. I’ve lived in many very old apartments in LA the same age as this place and all in east LA but this place seems like it’s purposely being left to crumble due to the foundation sinking into the hill and termite damage. Should not be on Airbnb. Brian was nice enough but pretty cold given our house was just destroyed and we needed a safe , clean place to stay for my family. Don’t stay here"
1543674256973474947,2025-10-30,2025,4,Medium,a cheaply constructed flip with broken appliances in the backyard and a door locked so I couldn't access the back for the first day. poorly stocked.
1367678927516772560,2025-03-01,2025,8,Medium,Moon was a great host and very communicative! Place was bigger in person and the little patio was nice for morning coffee and journaling. Loved having the gated parking. Thank you Moon!
